index,NMId,ObsRPShape,Poros,Darcy,ConcIn,PvIn,pH,IonStr,SaltType,ColumnLWRatio,PartDensity,PartIEP,pHIEPDist,PartZeta,CollecZeta,PartDiam,CollecDiam,PartCollSizeRatio,Coating,ConcHA,TypeNOM,Hamaker,Dispersivity,NanoSize,mbEffluent,mbRetained,mbEffluent_norm,mbRetained_norm
1,C60,HE,4.20E-01,9.26E-05,1.00E-02,3,5,0.1,NaCl,5,1.73E+03,3,2,-24.4,-52.34,1.36E-07,5.09E-04,2.67E-04,None,0,None,,,0,0.9711,0.0971,0.909,0.091
2,C60,HE,4.20E-01,9.26E-05,1.00E-02,3,5,1,NaCl,5,1.73E+03,3,2,-22,-45.46,1.88E-07,5.09E-04,3.69E-04,None,0,None,,,0,0.8546,0.178,0.828,0.172
3,C60,HE,4.20E-01,9.26E-05,1.00E-02,3,5,10,NaCl,5,1.73E+03,3,2,-18.7,-42.87,3.32E-07,5.09E-04,6.54E-04,None,0,None,,,0,0.7821,0.2302,0.773,0.227
4,C60,IRwD,4.20E-01,9.26E-05,1.00E-02,3,7,0.01,NaCl,5,1.73E+03,3,4,-37.5,-67.58,1.84E-07,5.09E-04,3.62E-04,None,0,None,,,0,1.011,0.076,0.93,0.07
5,C60,HE,4.20E-01,9.26E-05,1.00E-02,3,7,1,NaCl,5,1.73E+03,3,4,-36.9,-62.21,1.94E-07,5.09E-04,3.82E-04,None,0,None,,,0,0.95,0.1211,0.887,0.113
6,C60,HE,4.20E-01,9.26E-05,1.00E-02,3,7,10,NaCl,5,1.73E+03,3,4,-28.8,-72.87,5.05E-07,5.09E-04,9.93E-04,None,0,None,,,0,0.8473,0.1995,0.809,0.191
7,TiO2,LD,4.20E-01,9.26E-05,5.00E-02,3,5,0.01,NaCl,5,4.51E+03,6.2,-1.2,23.7,-52.34,4.53E-07,5.09E-04,8.90E-04,None,0,None,,,0,0.1143,0.8011,0.125,0.875
8,TiO2,HE,4.20E-01,9.26E-05,5.00E-02,3,5,1,NaCl,5,4.51E+03,6.2,-1.2,23.1,-45.46,9.41E-07,5.09E-04,1.85E-03,None,0,None,,,0,0.0918,0.8323,0.099,0.901
9,TiO2,LD,4.20E-01,9.26E-05,5.00E-02,3,5,10,NaCl,5,4.51E+03,6.2,-1.2,21.6,-42.87,1.08E-06,5.09E-04,2.12E-03,None,0,None,,,0,0.0865,0.8202,0.095,0.905
10,TiO2,HE,4.20E-01,9.26E-05,5.00E-02,3,7,0.01,NaCl,5,4.51E+03,6.2,0.8,-22.71,-67.58,4.65E-07,5.09E-04,9.14E-04,None,0,None,,,0,0.784,0.1331,0.855,0.145
